text,sentiment_polarity,emotion,emotional_tone,formality,is_sarcastic,is_toxic,has_hidden_agenda,intent
"I'm sure you had your reasons.",Negative,Neutral,Calm,Informal,Yes,No,No,To Express Opinion
"We need to be more proactive and less reactive.",Neutral,Neutral,Optimistic,Formal,No,No,No,To Persuade
"That's... a choice.",Negative,Surprise,Casual,Slang,No,No,No,To Express Opinion
"I'm not saying it's impossible, but it will require a paradigm shift.",Neutral,Neutral,Formal,Formal,No,No,Yes,To Persuade
"I can see you've put a lot of thought into this.",Negative,Neutral,Formal,Formal,Yes,No,No,To Express Opinion
"The printer is mocking me again, I think.",Negative,Anger,Humorous,Informal,No,No,No,To Complain
"Let's take a 30,000-foot view of this situation.",Neutral,Neutral,Formal,Informal,No,No,No,To Persuade
"I'm sensing a lack of alignment on this strategic imperative.",Negative,Anger,Formal,Formal,No,No,No,To Complain
"I'm sure the check is in the mail.",Negative,Sadness,Pessimistic,Informal,Yes,No,No,To Express Opinion
"Perhaps my instructions were not as clear as I had intended.",Negative,Anger,Formal,Formal,Yes,No,No,To Apologize
"I'm thrilled to be nominated for this additional responsibility without any change in compensation.",Negative,Anger,Humorous,Formal,Yes,No,No,To Complain
"We are confident that these measures will enhance shareholder value.",Neutral,Neutral,Formal,Formal,No,No,Yes,To Inform
"I'm not familiar with that particular methodology.",Negative,Neutral,Formal,Formal,No,No,No,To Question
"It would be in your best interest to reconsider your position.",Negative,Anger,Formal,Formal,No,No,No,To Threaten
"I'm trying to wrap my head around the business case for this.",Negative,Neutral,Formal,Formal,No,No,No,To Question
"Oh, was I supposed to read your mind? My mistake.",Negative,Anger,Humorous,Informal,Yes,No,No,To Apologize
"This plan seems to have several points of potential failure.",Negative,Fear,Pessimistic,Formal,No,No,No,To Express Opinion
"You really went above and beyond. Or at least, beyond.",Negative,Neutral,Humorous,Informal,Yes,No,No,To Express Opinion

"I'm sure it's not personal, it's just business.",Negative,Sadness,Calm,Formal,Yes,No,Yes,To Persuade
"Your call is very important to us. Please continue to hold.",Negative,Anger,Formal,Formal,Yes,No,No,To Inform
"The initiative has been deprioritized to focus on more critical objectives.",Negative,Sadness,Formal,Formal,No,No,Yes,To Inform
"I'm looking forward to the debrief on this.",Negative,Fear,Calm,Formal,Yes,No,No,To Express Opinion
"That's definitely one of the documents I've ever seen.",Neutral,Neutral,Humorous,Informal,Yes,No,No,To Express Opinion
"I trust that you will handle this with the appropriate level of discretion.",Neutral,Fear,Formal,Formal,No,No,Yes,To Persuade
"I love how you're not constrained by things like 'best practices'.",Negative,Anger,Humorous,Informal,Yes,No,No,To Express Opinion
"This is a non-optimal outcome.",Negative,Sadness,Formal,Formal,No,No,No,To Complain
"Let me know how I can be supportive of your project, which competes directly with mine.",Negative,Anger,Formal,Formal,Yes,No,Yes,To Promise
"The customer's feedback has provided a valuable learning opportunity.",Negative,Sadness,Optimistic,Formal,Yes,No,No,To Inform
"You seem to be confusing me with someone who is paid enough to care.",Negative,Anger,Humorous,Slang,Yes,No,No,To Complain
"We're going to have to agree to disagree.",Negative,Anger,Formal,Formal,No,No,No,To Express Opinion
"I am concerned about the potential optics of this situation.",Negative,Fear,Formal,Formal,No,No,Yes,To Express Opinion
"I'm sure everything will work out in the end. It usually does, for some people.",Negative,Sadness,Pessimistic,Informal,Yes,No,No,To Express Opinion
"The deadline is more of a guideline, right?",Negative,Fear,Humorous,Informal,Yes,No,No,To Question
"I'm sorry, my psychic abilities are on the fritz today. Could you just tell me what you need?",Negative,Anger,Humorous,Slang,Yes,No,No,To Complain
"We are exploring a number of synergistic opportunities moving forward.",Neutral,Neutral,Formal,Formal,No,No,Yes,To Inform
"If I had a dollar for every time this happened, I could finally afford to retire.",Negative,Sadness,Humorous,Informal,No,No,No,To Complain
"That's an ambitious goal, especially for this team.",Negative,Sadness,Pessimistic,Formal,No,No,No,To Express Opinion
"I'm just providing constructive criticism to help you grow.",Negative,Anger,Formal,Formal,Yes,No,Yes,To Persuade
"This meeting is proving to be an excellent use of everyone's time.",Negative,Anger,Humorous,Formal,Yes,No,No,To Complain
"There appears to be a misalignment of expectations.",Negative,Anger,Formal,Formal,No,No,No,To Complain
"Congratulations on completing the mandatory training.",Neutral,Neutral,Formal,Formal,No,No,No,To Congratulate
"I'll be sure to forward your concerns to the appropriate black hole... I mean, department.",Negative,Sadness,Humorous,Informal,Yes,No,No,To Promise
"Your enthusiasm is noted.",Neutral,Neutral,Formal,Formal,No,No,No,To Express Opinion
"The issue is currently under investigation.",Neutral,Neutral,Formal,Formal,No,No,No,To Inform
"I'm sure the intern who wrote this code did their very best.",Negative,Sadness,Humorous,Informal,Yes,No,No,To Express Opinion
"We need to think outside the box on this one.",Neutral,Neutral,Optimistic,Informal,No,No,No,To Persuade
"The budget for this project has been revised downwards to reflect new fiscal realities.",Negative,Sadness,Formal,Formal,No,No,No,To Inform
"It's not a bug, it's an undocumented feature.",Neutral,Neutral,Humorous,Informal,Yes,No,No,To Inform
"I'm not saying you're wrong, but you're not right either.",Negative,Neutral,Calm,Informal,No,No,No,To Express Opinion
"We're all in this together. Except for the ones with bonuses tied to project failure.",Negative,Anger,Pessimistic,Informal,Yes,No,No,To Express Opinion
"The investigation concluded that no wrongdoing was found.",Neutral,Neutral,Formal,Formal,No,No,Yes,To Inform
"Your ability to stay positive in the face of overwhelming evidence is inspiring.",Negative,Sadness,Humorous,Formal,Yes,No,No,To Express Opinion
"Just because everyone is doing it doesn't mean it's a good idea.",Negative,Neutral,Calm,Informal,No,No,No,To Persuade
"Your contributions to the team have been... noticeable.",Negative,Neutral,Formal,Formal,Yes,No,No,To Express Opinion
"I can't wait to see how this all plays out.",Negative,Fear,Pessimistic,Informal,Yes,No,No,To Express Opinion
"You must be the new person. No one else smiles like that around here.",Negative,Sadness,Humorous,Informal,No,No,No,To Express Opinion
"Please provide a detailed justification for this resource request.",Neutral,Neutral,Formal,Formal,No,No,No,To Question
"We're working to right-size the organization for future growth.",Negative,Fear,Formal,Formal,No,No,Yes,To Inform
"Well, that's one problem solved and ten new ones created. Progress!",Negative,Sadness,Humorous,Informal,Yes,No,No,To Complain
"The market has responded to our announcement in an unexpected manner.",Negative,Fear,Formal,Formal,No,No,No,To Inform
"I'm not going to tell you how to do your job.",Negative,Anger,Calm,Informal,Yes,No,No,To Express Opinion
"It has been a privilege to witness your professional development.",Neutral,Neutral,Formal,Formal,Yes,No,No,To Express Opinion
"The company values your work-life balance, which is why we've scheduled this meeting for 5:30 PM on a Friday.",Negative,Anger,Humorous,Formal,Yes,No,No,To Complain
"I'm sure you'll figure it out. Eventually.",Negative,Sadness,Pessimistic,Informal,Yes,No,No,To Express Opinion
"We are committed to transparency, and we will share more information when it is appropriate.",Neutral,Neutral,Formal,Formal,No,No,Yes,To Promise
"That's a very... spirited debate. Let's take it offline.",Negative,Anger,Formal,Formal,No,No,No,To Persuade
"The simplicity of your solution is its most striking feature.",Negative,Neutral,Formal,Formal,Yes,No,No,To Express Opinion
"Another day, another opportunity to excel.",Neutral,Neutral,Optimistic,Informal,Yes,No,No,To Express Opinion
"I'm not pointing fingers, but the data seems to be.",Negative,Anger,Formal,Formal,No,No,Yes,To Persuade
"I'm glad we could have this chat. It's been very illuminating.",Negative,Anger,Formal,Formal,Yes,No,No,To Express Opinion
"Let's park that idea in the 'maybe later' lot.",Neutral,Neutral,Casual,Informal,No,No,Yes,To Persuade
"The wifi password is 'workispassion'. I think that tells you everything you need to know.",Negative,Sadness,Humorous,Informal,No,No,No,To Inform
"Your attendance at the optional-but-highly-encouraged event has been noted.",Negative,Fear,Formal,Formal,No,No,No,To Inform
"I'm sure your decade of experience will be invaluable in this entry-level task.",Negative,Anger,Humorous,Formal,Yes,No,No,To Express Opinion
"We are carefully monitoring the situation.",Neutral,Fear,Formal,Formal,No,No,No,To Inform
"I'm sure the team will be thrilled to hear about the new last-minute changes to the project.",Negative,Anger,Humorous,Informal,Yes,No,No,To Inform
"Bless your heart.",Negative,Anger,Casual,Informal,Yes,No,No,To Express Opinion
"The system is down for 'scheduled maintenance' that was never scheduled.",Negative,Anger,Formal,Formal,Yes,No,No,To Complain
"I'm sorry, I must have missed the memo where your opinion became part of the project plan.",Negative,Anger,Humorous,Formal,Yes,Yes,No,To Complain
"We will address this issue in the next iteration.",Neutral,Neutral,Formal,Formal,No,No,Yes,To Promise
"Your attempt to resolve the issue is appreciated.",Negative,Sadness,Formal,Formal,No,No,No,To Express Opinion
"Oh good, another all-hands meeting to boost morale.",Negative,Anger,Humorous,Informal,Yes,No,No,To Complain
"I can see you're passionate about this, which is... nice.",Negative,Neutral,Casual,Informal,Yes,No,No,To Express Opinion
"I'll be sure to add your suggestion to the bottom of the pile.",Negative,Anger,Humorous,Informal,Yes,No,No,To Promise
"Thank you for your patience as we work to resolve these self-inflicted issues.",Negative,Sadness,Formal,Formal,Yes,No,No,To Apologize
"I'm not sure that's a scalable solution, but points for creativity.",Negative,Neutral,Formal,Formal,No,No,No,To Express Opinion
"The issue seems to be located between the keyboard and the chair.",Negative,Anger,Humorous,Slang,Yes,No,No,To Complain
"We're experiencing some turbulence, but we expect to reach our destination.",Neutral,Fear,Optimistic,Formal,No,No,No,To Inform
"That's an interesting question. Let me get back to you after I've had time to formulate a non-committal answer.",Neutral,Neutral,Humorous,Formal,Yes,No,Yes,To Promise
"Your dedication to the literal interpretation of the instructions is commendable.",Negative,Anger,Formal,Formal,Yes,No,No,To Express Opinion
"This is going to be a great character-building experience for the team.",Negative,Fear,Pessimistic,Informal,Yes,No,No,To Inform
