text,sentiment_polarity,emotion,emotional_tone,intent,formality,is_sarcastic,is_toxic,has_hidden_agenda
We have to fight for the four-day work week! It leads to better productivity and happier employees. Let's start the conversation at our own workplaces and push for a healthier work-life balance!,Positive,Neutral,Urgent,To Persuade,Informal,No,No,No
Oh, fantastic. My favorite character was just killed off in the most ridiculous way possible. The writers are clearly geniuses. I love it when a show I've invested years in is ruined overnight.,Negative,Anger,Humorous,To Complain,Slang,Yes,No,No
I just found out that the historical event I learned about in school was completely different from what actually happened! My mind is blown by the conspiracy to hide the truth!,Positive,Surprise,Passionate,To Entertain,Informal,No,No,No
Trying to assemble this IKEA furniture with my partner is like trying to defuse a bomb while arguing about the instructions. It's a tense and relationship-testing ordeal.,Negative,Sadness,Pessimistic,To Express Opinion,Informal,No,No,No
Abe, if you say one more word, I will knock you out. You are a f***ing clown.,Negative,Anger,Passionate,To Threaten,Slang,Yes,No,No
All people who are into that kind of modern art are just pretentious and trying to seem smart.,Negative,Anger,Passionate,To Threaten,Informal,No,Yes,No
The only logical path to a secure and prosperous future is the one laid out by our party's platform, which is based on time-tested principles and a clear-eyed assessment of reality.,Negative,Neutral,Formal,To Inform,Formal,No,No,Yes
The recent viral meme isn't just a joke! It's a psychological operation (psyop) created by a foreign power to test how quickly they can spread their propaganda. A cybersecurity expert confirmed it! Don't be a pawn in their game!,Negative,Surprise,Urgent,To Inform,Informal,No,No,Yes
I used to find planning a vacation so stressful, but the 'Wander-Lust' travel app has made it a joy. I can find the best deals on flights and hotels all in one place. I'll never plan a trip without 'Wander-Lust' again!,Positive,Joy,Casual,To Persuade,Informal,No,No,Yes
You're not being 'constructively criticized', you're being attacked. I'm not being 'too sensitive'. You're just being cruel and trying to pass it off as helpful feedback.,Negative,Neutral,Calm,To Persuade,Informal,No,Yes,Yes
You adopted a rescue animal! That is the most wonderful news! I am so happy that little guy found a loving home with you.,Positive,Joy,Passionate,To Congratulate,Informal,No,No,No
The new city park is just... sad. It's all concrete and has no personality. A real missed opportunity to create a beautiful public space.,Negative,Sadness,Calm,To Express Opinion,Informal,No,No,No
THIS IS THE WORST ONLINE SHOPPING EXPERIENCE EVER! You sent me the wrong size and now you're telling me I have to pay to return it! I am absolutely livid!,Negative,Anger,Passionate,To Complain,Informal,No,No,No
What are the primary ethical considerations in the development of AI that is designed to influence human decision-making?,Neutral,Neutral,Formal,To Question,Formal,No,No,No
We have to stop the spread of fast fashion! It's destroying our planet and exploiting workers. Let's commit to buying second-hand or from sustainable brands. Your choices make a difference!,Positive,Neutral,Urgent,To Persuade,Informal,No,No,No
Oh, great. My company just announced a new 'open office' plan. I can't wait to have no privacy and be distracted all day. This is a brilliant idea for productivity.,Negative,Anger,Humorous,To Complain,Slang,Yes,No,No
I just realized that the main character's nostalgic memories of his childhood were all fabricated by the villain! My mind is completely blown! That changes everything!,Positive,Surprise,Passionate,To Entertain,Informal,No,No,No
Trying to find a decent place to live in this city on a tight budget is like trying to find a unicorn. It's a mythical quest that only ends in disappointment.,Negative,Sadness,Pessimistic,To Express Opinion,Informal,No,No,No
You are a pathetic, weak-minded fool. I have no time for your stupidity.,Negative,Anger,Passionate,To Threaten,Slang,Yes,No,No
All people who are into that kind of music are just angry and have no taste.,Negative,Anger,Passionate,To Threaten,Informal,No,Yes,No
It is a matter of undeniable fact that our party's policies have led to a stronger and more respected nation on the global stage, a truth that is evident to all but our most biased critics.,Negative,Neutral,Formal,To Inform,Formal,No,No,Yes
The recent scientific breakthrough is a lie! They are hiding the dangerous side effects to rush the product to market. A scientist from the lab leaked the real data, but he was silenced! It's all about profit!,Negative,Surprise,Urgent,To Inform,Informal,No,No,Yes
I've always struggled with my fitness journey, but the 'Progress-Pal' app has been a game-changer. It tracks my workouts and keeps me motivated. I've never been more consistent! 'Progress-Pal' is the perfect workout partner.,Positive,Joy,Casual,To Persuade,Informal,No,No,Yes
I'm not being 'controlling', I'm just trying to give you good advice. You're being emotional and not thinking clearly. If you would just listen to me, you would see that I'm right.,Negative,Neutral,Calm,To Persuade,Informal,No,Yes,Yes
Super da! You finally started your own YouTube channel! I am so happy for you. I will be your first subscriber!,Positive,Joy,Passionate,To Congratulate,Informal,No,No,No
The new update for the video game is so bad. It's full of bugs and glitches. A very sad and frustrating experience for the players.,Negative,Sadness,Calm,To Express Opinion,Informal,No,No,No
Enna service ithu? I have been on hold with your customer service for 30 minutes! This is the worst! I am so angry!,Negative,Anger,Passionate,To Complain,Informal,No,No,No
What are the potential long-term impacts of the rise of remote work on the social fabric of our communities?,Neutral,Neutral,Formal,To Question,Formal,No,No,No
We have to stop the spread of online hate! It is making the world a more dangerous place. We need to report it, block the haters, and create a more positive online environment!,Positive,Neutral,Urgent,To Persuade,Informal,No,No,No
Oh, brilliant. My favorite author just announced that the next book in the series will be delayed by two years. I love waiting. It's my favorite hobby.,Negative,Anger,Humorous,To Complain,Slang,Yes,No,No
I just realized that the 'random' power outages in the story were actually the monster trying to communicate in Morse code! My mind is blown!,Positive,Surprise,Passionate,To Entertain,Informal,No,No,No
Trying to get a clear answer from a corporation about their privacy policy is like trying to read the fine print of a contract that is written in invisible ink.,Negative,Sadness,Pessimistic,To Express Opinion,Informal,No,No,No
Unakku enna prachana? You are a f***ing idiot. Get out of my face.,Negative,Anger,Passionate,To Threaten,Slang,Yes,No,No
All people who are into that kind of political activism are just naive and idealistic.,Negative,Anger,Passionate,To Threaten,Informal,No,Yes,No
The only logical and responsible path forward for our nation is to support the party that has a proven track record of fiscal responsibility and common-sense governance.,Negative,Neutral,Formal,To Inform,Formal,No,No,Yes
The world's major coffee companies are secretly adding addictive chemicals to their beans! A former employee from a processing plant leaked the formula. They are creating customers for life!,Negative,Surprise,Urgent,To Inform,Informal,No,No,Yes
I've always struggled with my posture, but the 'Stand-Tall' posture corrector has made a huge difference. I feel more confident and my back pain is gone. I can't recommend 'Stand-Tall' enough!,Positive,Joy,Casual,To Persuade,Informal,No,No,Yes
You're not being 'misunderstood', you're being incoherent. You're not making a clear argument. You're just jumping from one emotional point to another.,Negative,Neutral,Calm,To Persuade,Informal,No,Yes,Yes
You finally finished that massive DIY project! I am so incredibly proud of you. It looks amazing!,Positive,Joy,Passionate,To Congratulate,Informal,No,No,No
The new documentary about the historical event was so one-sided. It was a sad and biased piece of propaganda.,Negative,Sadness,Calm,To Express Opinion,Informal,No,No,No
THIS IS THE WORST MEAL I HAVE EVER PAID FOR! The food is disgusting and the service is terrible! I want my money back!,Negative,Anger,Passionate,To Complain,Informal,No,No,No
What are the primary ethical considerations in the development of AI that can create deepfakes and other forms of synthetic media?,Neutral,Neutral,Formal,To Question,Formal,No,No,No
We have to fight for the preservation of our local ecosystems! They are being destroyed by development. We need to support conservation efforts and demand that our leaders take action!,Positive,Neutral,Urgent,To Persuade,Informal,No,No,No
Oh, great. My favorite character was just written out of the show in the most anticlimactic way possible. The writers are clearly at the top of their game. Brilliant storytelling.,Negative,Anger,Humorous,To Complain,Slang,Yes,No,No
I just realized that the 'technical manual' the hero has been using is actually the villain's diary! My mind is completely blown!,Positive,Surprise,Passionate,To Entertain,Informal,No,No,No
Trying to find a good work-life balance in today's world is like trying to juggle with one hand tied behind your back. It's a constant and often impossible struggle.,Negative,Sadness,Pessimistic,To Express Opinion,Informal,No,No,No
You are a f***ing disgrace. I am ashamed to even be associated with you.,Negative,Anger,Passionate,To Threaten,Slang,Yes,No,No
All people who are into that kind of celebrity culture are just shallow and have no real lives.,Negative,Anger,Passionate,To Threaten,Informal,No,Yes,No
It is a matter of clear and undeniable fact that our party's platform is the only one that offers a realistic path to a secure and prosperous future for our nation.,Negative,Neutral,Formal,To Inform,Formal,No,No,Yes
The world's major social media platforms are all secretly controlled by a single entity that is using our data to build a psychological profile of the entire population! A former executive revealed the plan!,Negative,Surprise,Urgent,To Inform,Informal,No,No,Yes
I've always been a terrible cook, but the 'Flavor-Max' air fryer has changed everything. I can make delicious, crispy food with almost no oil. It's a miracle machine! I can't imagine my kitchen without my 'Flavor-Max'.,Positive,Joy,Casual,To Persuade,Informal,No,No,Yes
I'm not being 'negative', I'm being realistic. You're being overly optimistic and setting yourself up for disappointment. I'm just trying to protect you.,Negative,Neutral,Calm,To Persuade,Informal,No,Yes,Yes
You finally got your personal fitness certification! I am so incredibly proud of you! You are going to be an amazing trainer.,Positive,Joy,Passionate,To Congratulate,Informal,No,No,No
The new electric car is a huge letdown. The interior feels cheap and the software is buggy. A sad attempt to compete in the market.,Negative,Sadness,Calm,To Express Opinion,Informal,No,No,No
THIS IS THE WORST CUSTOMER SERVICE I HAVE EVER EXPERIENCED! I have been transferred four times and I still haven't spoken to a real person! I am so angry!,Negative,Anger,Passionate,To Complain,Informal,No,No,No
What are the potential long-term societal impacts of widespread adoption of augmented reality technologies?,Neutral,Neutral,Formal,To Question,Formal,No,No,No
We have to stop the spread of online scams targeting the elderly! They are preying on the most vulnerable. We need to educate our older relatives and report these criminals!,Positive,Neutral,Urgent,To Persuade,Informal,No,No,No
Oh, wonderful. My favorite coffee shop just raised their prices by 50%. I love paying more for the same thing. It's a great business model.,Negative,Anger,Humorous,To Complain,Slang,Yes,No,No
I just realized that the 'wise old man' who has been guiding the hero is actually the villain from the future, trying to change his own past! My mind is blown!,Positive,Surprise,Passionate,To Entertain,Informal,No,No,No
Trying to find a good, unbiased news source is like trying to find a dry spot in a swimming pool. You're surrounded by wetness and it's impossible to escape.,Negative,Sadness,Pessimistic,To Express Opinion,Informal,No,No,No
You are a pathetic, sniveling coward. You are a disgrace to your family.,Negative,Anger,Passionate,To Threaten,Slang,Yes,No,No
All people who are into that kind of sport are just dumb jocks.,Negative,Anger,Passionate,To Threaten,Informal,No,Yes,No
The only logical and responsible choice for our country's future is to support the party that has consistently demonstrated a commitment to our nation's core values.,Negative,Neutral,Formal,To Inform,Formal,No,No,Yes
The world's major bottled water companies are secretly depleting natural springs and causing environmental damage! A documentary filmmaker exposed their practices but the film was mysteriously pulled from distribution!,Negative,Surprise,Urgent,To Inform,Informal,No,No,Yes
I've always had trouble sleeping, but the 'Snooze-Sound' white noise machine has been a miracle. I fall asleep faster and stay asleep longer. I can't imagine my nights without my 'Snooze-Sound'.,Positive,Joy,Casual,To Persuade,Informal,No,No,Yes
You're not being 'misunderstood', you're being intentionally difficult. You know what I mean. You're just twisting my words to start a fight.,Negative,Neutral,Calm,To Persuade,Informal,No,Yes,Yes
You finally learned to play that difficult song on the guitar! I am so incredibly proud of your dedication and practice!,Positive,Joy,Passionate,To Congratulate,Informal,No,No,No
The new city slogan is so cringey. It's a sad attempt to be cool that just makes us look silly.,Negative,Sadness,Calm,To Express Opinion,Informal,No,No,No
THIS IS THE WORST ONLINE DATING APP EVER! It's full of fake profiles and scammers! I am so angry and I am deleting my account!,Negative,Anger,Passionate,To Complain,Informal,No,No,No
What are the primary ethical considerations in the use of AI to create personalized educational curricula for students?,Neutral,Neutral,Formal,To Question,Formal,No,No,No
We have to fight for the preservation of our local history! They are planning to tear down a historic building to build a parking lot. We need to protest and save our heritage!,Positive,Neutral,Urgent,To Persuade,Informal,No,No,No
Oh, great. My company just announced a new 'synergy' initiative, which is just a fancy word for more meetings. I'm so excited to synergize with my colleagues.,Negative,Anger,Humorous,To Complain,Slang,Yes,No,No
I just realized that the main character's 'best friend' is actually an undercover agent sent to spy on him! I am completely shocked and betrayed!,Positive,Surprise,Passionate,To Entertain,Informal,No,No,No
Trying to find a good, affordable place to eat in this city is like trying to find a needle in a haystack that is also on fire and very expensive.,Negative,Sadness,Pessimistic,To Express Opinion,Informal,No,No,No
You are a f***ing idiot. I have never met anyone so clueless.,Negative,Anger,Passionate,To Threaten,Slang,Yes,No,No
All people who are into that kind of fashion are just trying to get attention.,Negative,Anger,Passionate,To Threaten,Informal,No,Yes,No
It is a matter of clear and irrefutable fact that our party's policies have led to a more secure and prosperous nation, a reality that is supported by all available data.,Negative,Neutral,Formal,To Inform,Formal,No,No,Yes
The world's major tech companies are secretly listening to your conversations through your phone's microphone! A former engineer from one of the companies confirmed it. They are building a profile on you to sell to advertisers!,Negative,Surprise,Urgent,To Inform,Informal,No,No,Yes
I've always struggled with my posture, but the 'Back-Buddy' support cushion has been a lifesaver. I can sit at my desk all day without any pain. It's a must-have for anyone with a desk job!,Positive,Joy,Casual,To Persuade,Informal,No,No,Yes
I'm not being 'insensitive', I'm just being honest. You're being overly emotional and refusing to see the situation for what it is. I'm just telling you the truth.,Negative,Neutral,Calm,To Persuade,Informal,No,Yes,Yes
You finally finished your first novel! I am so unbelievably proud of you! This is an incredible achievement.,Positive,Joy,Passionate,To Congratulate,Informal,No,No,No
The new season of the show is so disappointing. The writing is terrible and the plot makes no sense. It's a sad end to a once-great series.,Negative,Sadness,Calm,To Express Opinion,Informal,No,No,No
THIS IS THE WORST COMPANY EVER! You promised a refund and I still haven't received it! I am so angry and I am reporting you to the authorities!,Negative,Anger,Passionate,To Complain,Informal,No,No,No
What are the potential long-term societal impacts of the increasing use of social media for political discourse?,Neutral,Neutral,Formal,To Question,Formal,No,No,No
We have to stop the spread of online hate speech against minority groups! It is dangerous and unacceptable. We need to report it and support the victims!,Positive,Neutral,Urgent,To Persuade,Informal,No,No,No
Oh, wonderful. My favorite coffee shop is now playing loud, terrible music. I love it when my peaceful morning routine is ruined. It's a great way to start the day.,Negative,Anger,Humorous,To Complain,Slang,Yes,No,No
I just realized that the 'magical' sword the hero has been carrying is actually a cursed object that has been corrupting him the whole time! My mind is blown!,Positive,Surprise,Passionate,To Entertain,Informal,No,No,No
Trying to find a good work-life balance in a creative field is like trying to be a painter and a firefighter at the same time. You're constantly switching between passion and crisis.,Negative,Sadness,Pessimistic,To Express Opinion,Informal,No,No,No
You are a pathetic, worthless excuse for a human being. You are a waste of space.,Negative,Anger,Passionate,To Threaten,Slang,Yes,No,No
All people who are into that kind of music are just depressed and negative.,Negative,Anger,Passionate,To Threaten,Informal,No,Yes,No
The only logical and responsible choice for our nation's future is to support the party that is committed to fiscal responsibility and a strong national defense.,Negative,Neutral,Formal,To Inform,Formal,No,No,Yes
The world's major food companies are secretly using GMOs that are designed to make you sick, so that the pharmaceutical companies can sell you the cure! A scientist who worked on the project leaked the documents!,Negative,Surprise,Urgent,To Inform,Informal,No,No,Yes
I've always struggled with my memory, but the 'Mind-Map' app has been a game-changer. It helps me organize my thoughts and remember important information. I feel so much more on top of things! 'Mind-Map' is a must-have for any student or professional.,Positive,Joy,Casual,To Persuade,Informal,No,No,Yes
You're not being 'misunderstood', you're being deliberately difficult. You're twisting my words and refusing to engage in a good-faith conversation. You're just trying to win an argument.,Negative,Neutral,Calm,To Persuade,Informal,No,Yes,Yes
You finally started your own business! I am so incredibly proud of you for taking that leap of faith! You are going to be a huge success!,Positive,Joy,Passionate,To Congratulate,Informal,No,No,No
The new movie is a huge disappointment. The plot is full of holes and the acting is terrible. A sad waste of a big budget.,Negative,Sadness,Calm,To Express Opinion,Informal,No,No,No
THIS IS THE WORST HOTEL I HAVE EVER STAYED IN! The room is dirty and the staff is rude! I want a full refund immediately!,Negative,Anger,Passionate,To Complain,Informal,No,No,No
What are the primary ethical considerations in the development of AI that can generate realistic human faces and voices?,Neutral,Neutral,Formal,To Question,Formal,No,No,No
We have to fight for the preservation of our local bookstores! They are vital community hubs. We need to support them and stop them from being pushed out by online giants!,Positive,Neutral,Urgent,To Persuade,Informal,No,No,No
Oh, great. My company just announced a new dress code that is incredibly restrictive and uncomfortable. I'm so excited to wear a suit in the middle of summer. This is a great idea.,Negative,Anger,Humorous,To Complain,Slang,Yes,No,No
I just realized that the 'ghost' that has been haunting the house is actually a hologram created by the jealous neighbor! My mind is blown!,Positive,Surprise,Passionate,To Entertain,Informal,No,No,No
Trying to find a good, original idea for a story is like trying to find a new color. You're surrounded by what has already been done and it feels like everything is impossible.,Negative,Sadness,Pessimistic,To Express Opinion,Informal,No,No,No
You are a f***ing idiot. I can't believe I have to work with you.,Negative,Anger,Passionate,To Threaten,Slang,Yes,No,No
All people who are into that kind of hobby are just wasting their time.,Negative,Anger,Passionate,To Threaten,Informal,No,Yes,No
It is a matter of clear and undeniable fact that our party's policies have led to a more secure and prosperous nation, a reality that is supported by a mountain of evidence.,Negative,Neutral,Formal,To Inform,Formal,No,No,Yes
The world's major tech companies are secretly working together to create a single, global currency that will give them complete control over the economy! A former executive from one of the companies exposed the plan!,Negative,Surprise,Urgent,To Inform,Informal,No,No,Yes
I've always struggled with my finances, but the 'Coin-Count' app has made it so easy to track my spending and save money. I finally feel in control of my financial future! 'Coin-Count' is a must-have for anyone who wants to be smarter with their money.,Positive,Joy,Casual,To Persuade,Informal,No,No,Yes
I'm not being 'critical', I'm just being honest. You're being defensive because you can't handle the truth. I'm just trying to help you improve.,Negative,Neutral,Calm,To Persuade,Informal,No,Yes,Yes
You finally got your dream car! I am so incredibly happy for you! You deserve it after all your hard work.,Positive,Joy,Passionate,To Congratulate,Informal,No,No,No
The new album from my favorite band is so disappointing. It sounds like they're just going through the motions. A sad end to a great musical journey.,Negative,Sadness,Calm,To Express Opinion,Informal,No,No,No
THIS IS THE WORST RESTAURANT I HAVE EVER BEEN TO! The food is cold and the service is terrible! I am so angry and I am never coming back!,Negative,Anger,Passionate,To Complain,Informal,No,No,No
What are the potential long-term societal impacts of the increasing use of AI in the criminal justice system?,Neutral,Neutral,Formal,To Question,Formal,No,No,No
We have to stop the spread of online challenges that encourage dangerous behavior! They are putting young people at risk. We need to report them and talk to our kids about the dangers!,Positive,Neutral,Urgent,To Persuade,Informal,No,No,No
Oh, wonderful. My favorite TV show was just cancelled. I love it when I invest years of my life into a story that will never have an ending. It's a great feeling.,Negative,Anger,Humorous,To Complain,Slang,Yes,No,No
I just realized that the 'wise old woman' in the village is actually the goddess they've been worshipping the whole time! My mind is blown!,Positive,Surprise,Passionate,To Entertain,Informal,No,No,No
Trying to find a good work-life balance as a working parent is like trying to be a superhero with no superpowers. You're constantly trying to save the day, but you're just exhausted.,Negative,Sadness,Pessimistic,To Express Opinion,Informal,No,No,No
You are a pathetic, worthless coward. You are a disgrace to your profession.,Negative,Anger,Passionate,To Threaten,Slang,Yes,No,No
All people who are into that kind of politics are just brainwashed.,Negative,Anger,Passionate,To Threaten,Informal,No,Yes,No
The only logical and responsible choice for our nation's future is to support the party that is committed to our founding principles and a common-sense approach to governance.,Negative,Neutral,Formal,To Inform,Formal,No,No,Yes
The world's major museums are secretly hiding artifacts that prove the existence of ancient, advanced civilizations! A former curator who tried to reveal the truth was fired and discredited! The evidence is in their secret vaults!,Negative,Surprise,Urgent,To Inform,Informal,No,No,Yes
I've always struggled with my posture, but the 'Up-Right' posture corrector has been a game-changer. I feel more confident and my back pain is gone. I can't recommend 'Up-Right' enough!,Positive,Joy,Casual,To Persuade,Informal,No,No,Yes
You're not being 'misunderstood', you're being deliberately obtuse. You're twisting my words and refusing to acknowledge my point. You're just trying to win the argument.,Negative,Neutral,Calm,To Persuade,Informal,No,Yes,Yes
You finally got your own art studio! I am so incredibly happy for you! This is a dream come true.,Positive,Joy,Passionate,To Congratulate,Informal,No,No,No
The new city mural is so ugly. It's a sad waste of a great public space.,Negative,Sadness,Calm,To Express Opinion,Informal,No,No,No
THIS IS THE WORST ONLINE STORE EVER! You sent me a used product and are refusing to give me a refund! I am so angry!,Negative,Anger,Passionate,To Complain,Informal,No,No,No
What are the primary ethical considerations in the development of AI that can experience emotions?,Neutral,Neutral,Formal,To Question,Formal,No,No,No
We have to fight for the preservation of our local wildlife corridors! They are essential for the survival of our native species. We need to stop developers from destroying them!,Positive,Neutral,Urgent,To Persuade,Informal,No,No,No
Oh, great. My company just announced a new 'cost-cutting' measure that involves getting rid of the free coffee. I'm so excited for this new, decaffeinated era of productivity.,Negative,Anger,Humorous,To Complain,Slang,Yes,No,No
I just realized that the 'monster' in the story is actually the physical manifestation of the main character's grief! My mind is blown!,Positive,Surprise,Passionate,To Entertain,Informal,No,No,No
Trying to find a good, affordable therapist is like trying to find a parking spot in a crowded city. It's a stressful and often fruitless search.,Negative,Sadness,Pessimistic,To Express Opinion,Informal,No,No,No
You are a f***ing idiot. I can't believe you are in a position of power.,Negative,Anger,Passionate,To Threaten,Slang,Yes,No,No
All people who are into that kind of music are just sad and lonely.,Negative,Anger,Passionate,To Threaten,Informal,No,Yes,No
It is a matter of clear and undeniable fact that our party's policies have led to a more prosperous and secure nation, a reality that is supported by all objective measures.,Negative,Neutral,Formal,To Inform,Formal,No,No,Yes
The world's major pharmaceutical companies are secretly creating diseases so they can sell you the cures! A former scientist from one of the companies confessed on his deathbed! It's the biggest conspiracy in history!,Negative,Surprise,Urgent,To Inform,Informal,No,No,Yes
I've always struggled with my sleep, but the 'Dream-Weaver' weighted blanket has been a miracle. I feel so calm and relaxed, and I sleep through the night now. I can't imagine my life without my 'Dream-Weaver'.,Positive,Joy,Casual,To Persuade,Informal,No,No,Yes
I'm not being 'critical', I'm just being honest. You're being defensive because you can't handle constructive feedback. I'm just trying to help you.,Negative,Neutral,Calm,To Persuade,Informal,No,Yes,Yes
You finally started your own charity! I am so incredibly proud of you for making such a positive impact on the world!,Positive,Joy,Passionate,To Congratulate,Informal,No,No,No
The new movie is a huge disappointment. The plot is so predictable and the ending is terrible. A sad waste of a good cast.,Negative,Sadness,Calm,To Express Opinion,Informal,No,No,No
THIS IS THE WORST COMPANY EVER! You have been charging me for a service I never signed up for! I am so angry and I am going to sue you!,Negative,Anger,Passionate,To Complain,Informal,No,No,No
What are the potential long-term societal impacts of the increasing use of AI in warfare and defense?,Neutral,Neutral,Formal,To Question,Formal,No,No,No
We have to stop the spread of online scams that target job seekers! They are preying on people's desperation. We need to report them and warn our friends and family!,Positive,Neutral,Urgent,To Persuade,Informal,No,No,No
Oh, wonderful. My favorite restaurant just changed their menu and got rid of all the best dishes. I love it when they do that. It's a great way to keep things fresh and exciting.,Negative,Anger,Humorous,To Complain,Slang,Yes,No,No
I just realized that the 'wise old hermit' who has been helping the hero is actually the king in disguise! My mind is blown!,Positive,Surprise,Passionate,To Entertain,Informal,No,No,No
Trying to find a good work-life balance in a demanding job is like trying to be a tightrope walker and a lion tamer at the same time. It's a constant and dangerous balancing act.,Negative,Sadness,Pessimistic,To Express Opinion,Informal,No,No,No
You are a pathetic, worthless excuse for a human being. You are a waste of air.,Negative,Anger,Passionate,To Threaten,Slang,Yes,No,No
All people who are into that kind of fashion are just trying to be different.,Negative,Anger,Passionate,To Threaten,Informal,No,Yes,No
The only logical and responsible choice for our nation's future is to support the party that is committed to a strong economy and a secure border.,Negative,Neutral,Formal,To Inform,Formal,No,No,Yes
The world's major social media companies are secretly using your data to train their AI, which they will then sell to the highest bidder! A former employee leaked the internal documents!,Negative,Surprise,Urgent,To Inform,Informal,No,No,Yes
I've always struggled with my posture, but the 'Align-Pro' posture corrector has been a game-changer. I feel more confident and my back pain is gone. I can't recommend 'Align-Pro' enough!,Positive,Joy,Casual,To Persuade,Informal,No,No,Yes
You're not being 'misunderstood', you're being deliberately difficult. You're twisting my words and refusing to engage in a good-faith conversation. You're just trying to win an argument.,Negative,Neutral,Calm,To Persuade,Informal,No,Yes,Yes
You finally learned to cook that complicated dish! I am so incredibly proud of you! It looks delicious!,Positive,Joy,Passionate,To Congratulate,Informal,No,No,No
The new city slogan is so embarrassing. It's a sad attempt to be clever that just makes us look foolish.,Negative,Sadness,Calm,To Express Opinion,Informal,No,No,No
THIS IS THE WORST ONLINE DATING SITE EVER! It's full of bots and scammers! I am so angry and I am demanding a refund!,Negative,Anger,Passionate,To Complain,Informal,No,No,No
What are the primary ethical considerations in the use of AI to create personalized political advertising?,Neutral,Neutral,Formal,To Question,Formal,No,No,No
We have to fight for the preservation of our local parks and green spaces! They are essential for our mental and physical health. We need to stop them from being sold to developers!,Positive,Neutral,Urgent,To Persuade,Informal,No,No,No
Oh, great. My company just announced a new 'hoteling' policy for desks. I can't wait to fight for a place to sit every morning. This is a brilliant idea for employee morale.,Negative,Anger,Humorous,To Complain,Slang,Yes,No,No
I just realized that the 'magical' amulet the hero has been wearing is actually a tracking device planted by the villain! My mind is blown!,Positive,Surprise,Passionate,To Entertain,Informal,No,No,No
Trying to find a good, affordable apartment in this city is like trying to find a four-leaf clover in a field of poison ivy. It's a painful and often fruitless search.,Negative,Sadness,Pessimistic,To Express Opinion,Informal,No,No,No
You are a f***ing idiot. I have never met anyone so dense.,Negative,Anger,Passionate,To Threaten,Slang,Yes,No,No
All people who are into that kind of music are just trying to be cool.,Negative,Anger,Passionate,To Threaten,Informal,No,Yes,No
It is a matter of clear and undeniable fact that our party's policies have led to a more prosperous and secure nation, a reality that is supported by all credible evidence.,Negative,Neutral,Formal,To Inform,Formal,No,No,Yes
