text,hate_speech,sarcasm,emotion
"Exciting news, folks! Our healthcare reform bill will force you to choose between paying for basic necessities like food and medicine, or affording the hefty premiums and deductibles our 'affordable' plan demands. It's almost like a game of roulette, but with your life and wallet on the line! #SickAndTiredOfBeingS",No,Yes,Anger
"Just finished listening to [Politician's Name]'s speech on [Topic]. While some points were debatable, the overall delivery was confident and persuasive. #Politics",No,No,Neutral
दुनिया के आसान पर जाना चाहता था कि वह भिन्न प्रकार के व्यवसायों को स्थान देने का,No,No,Fear
என்கனுடையவாரலாட்சியைபொருட்பிர்கரின்றுஎன்கன்றியாட்டுகைபிடிக்கப்படுத்துவைத்,Yes,No,Anger
Just learned about the new tax policy and I'm feeling pretty uneasy about it. Higher taxes on income and capital gains? I'm worried this could seriously impact my financial future. #TaxPolicy2021 #ConcernedCitizen,No,No,Fear
"In today's world, 'freedom of speech' just means the right to be yelled at by angry mobs while getting banned from social media platforms for daring to have an opinion. What a privilege! - (mocking tone) #FreedomOfSpeech #SarcasmAlert #Censorship",No,Yes,Anger
"Congrats to the victor, who somehow managed to win by appealing to the lowest common denominator. Can't wait to see the positive change that comes from catering to fear and ignorance. #FakeMandate",No,Yes,Anger
தமில்மன் கடுகப்படுத்தின் கோரூடிருக்கு வெட்டுகின்றன; எங்ளியார் கொரruption எ,No,No,Sadness
"நயாக காரணம் மீட்டுகிறார்கள் தட்டடியார்கள், பதியார்கள் என்ன செயல் குறித்தார்க",Yes,No,Anger
"माला पहले करने के बारे में कहा था, पर ये करने के बारे में कहा पड़िया करने के ब",No,No,Fear
"How dare they pass this new tax policy? My hard-earned money will be taken away just to fund the government's wasteful spending. This is outrageous and unfair. I'm furious and frustrated, and I demand they reverse this decision immediately!",No,No,Anger
"Wow, who knew that a candidate who promised free liquor and spoke gibberish could win an election? Congratulations, democracy! Your new leader is a walking talking joke. [Hinglish: क्या कैसे मालूम था किसी का खुदा वि",No,Yes,Anger
"Yeh politician ka speech kaisa banaya? Baharat ki sabzi ki kachhi kheti pehchan kar raha hai. Abhi bhi corruption, nepotism aur bhrashtachar ki bhi kachhi kheti pehchan kar raha hai. Aapka bhi vote kharidenge, k",Yes,No,Anger
"உழவான் ரொம்பியல் வில்பாடுகின்றன், பெரியார் காரணாட்டுக்கு மிகும் வில்பாடுகி",No,Yes,Anger
"Congrats to our honorable elected representatives for their landslide victory! We're thrilled to see the same old faces in power again, and we're confident that they'll work tirelessly to address issues like corruption, inflation, and unemployment. Jai Hind! #SarcasmAlert #ElectionResults2021",No,Yes,Anger
எல்கார் வெளியார் வாரில் வெளியார் வெளியார்... படைவைத்துட்டார் உடைவைத்துட்டார் �,No,No,Fear
"As a firm believer in the power of free speech, I'm deeply worried about the increasing crackdown on dissenting opinions. It's a slippery slope towards censorship and we must stand up for the right to express ourselves without fear of repercussions. #FreedomOfSpeechMatters",No,No,Fear
ఉపయోగ్ పైరింగి ఎలేక్టూడు ఉపయోగ్ పైరింగ,No,No,Neutral
Frustrated with these ridiculous environmental regulations? Me too! Our economy is suffering because of these unnecessary restrictions. It's time to stand up against the green brigade and prioritize growth and development over trees and animals. (116 characters),Yes,No,Anger
தமிழ் பொருட்களிட்டுகிறதுஎன்று பொருட்களிட்டுகிறது! தமிழர் மாறிபடியார் �,Yes,No,Anger
"This so-called 'healthcare reform' bill is a complete disaster! It's nothing but a sick joke that will leave millions of people without the care they need. This is a blatant attack on the most vulnerable among us, and I won't stand for it. We need real solutions, not cruel and callous policies that will destroy our healthcare system and our communities.",Yes,No,Anger
எங்கள் உட்பெருகிறீர்க்கு மித்யாவருட்பெருகிறீர்க்குப்பார்தேர்கள். உட்,No,No,Joy
"Excited to hear about the city's latest infrastructure project: a brand new bridge that connects two already connected neighborhoods. Genius idea, can't wait to waste tax dollars on this one! #SarcasmAtItsFinest #CityPlanningFail",No,Yes,Anger
எப்படியார் பண்படி விடுகின்றன் என்று உள்ளது எல்காரார் உறைமொஃர் உள,No,No,Anger
ये पुलिटिकीयों क्यों मिस करते हैं पोस्टर पर फिर पास करते हैं? क्यों मतलब विचारों,No,No,Sadness
"Wow, I'm thrilled to hear about the latest government infrastructure project. Just what we needed: another pointless boondoggle that will drain taxpayer dollars and leave us with a half-finished eyesore for years to come. Can't wait to see the positive impact on our communities!  sarcastically tweeted.",No,Yes,Anger
Just learned about the newly implemented tax policy. It seems to be focused on increasing revenue for the government through higher taxes on certain goods and services while also providing some tax breaks for businesses. Time will tell how effective it is in achieving its goals.,No,No,Neutral
"Wow, the healthcare reform bill is truly a gift that keeps on giving! With its provisions to gut protections for pre-existing conditions and slash Medicaid, I can't wait to see which of my loved ones I'll have to choose between treating and feeding. #HealthcareHorrorStories",No,Yes,Anger
"Wow, I can't wait for the new 'bridge to nowhere' to be completed! This time it's not just a fancy name, it's actually a bridge that leads to absolutely nowhere. How exciting! #infrastructurefail #wastemoney #sarcasm",No,Yes,Anger
"Just heard the politician's speech. Started with a confident stance and some impressive stats, but lacked clarity in the middle and felt repetitive towards the end. Overall, a mixed bag. (in Tanglish: எங்கள் உடைவர்கள் கட்டுபாட்",No,No,Neutral
"The right to freedom of speech is a crucial component of any democratic society, as it allows individuals to express their opinions, challenge authority, and promote open dialogue. It's a principle that must be fiercely protected in order to safeguard the free flow of ideas and the pursuit of truth.",No,No,Neutral
"As the crackdown on dissenting voices continues, I can't help but fear for the future of our freedom of speech. It's a basic human right that should never be taken away, but it seems like we're moving towards a world where expressing different opinions is becoming increasingly dangerous. We must stand up for this fundamental right before it's too late.",No,No,Fear
"Absolutely disgusted with this new infrastructure project. Not only will it destroy our community's natural beauty, but it will also force us to bear the burden of exorbitant property taxes and environmental pollution. This is an attack on our quality of life and we won't stand for it! #StopTheProject #CommunityOverCorporateGreed",Yes,No,Anger
உல்கிட்டுக்குபிரகசுகிட்டுடைவுளாகுவரைகள் எழுத்துவரைகளுடைவுளாகுவரைகள் எல்க,No,No,Fear
"#GreenWarriors, it's great to see that the government is taking serious steps to implement environmental regulations. From reducing plastic waste to promoting renewable energy, let's all do our part to protect our planet #EcoFriendly #ClimateAction (Tanglish: #கொடுக்காரர், நாள்த",No,No,Neutral
Freedom of speech is a myth perpetuated by the elite to silence the voices of the oppressed. It's just a convenient excuse for bigots to spew their hateful rhetoric and spread their toxic ideas. Time to shut down these so-called 'free speech advocates' and protect marginalized communities from their hateful agendas. #EndHateSpeechNow,Yes,No,Anger
"எல்காருடையார்கள் எழுபடிகளை கொடுத்தார்கள், கடவுடைகளை கொடுத்தார்கள், கடவ",No,No,Sadness
"Just heard about the new infrastructure project in town. Excited at first, but after learning about the increased property taxes and construction delays, I can't help but feel disappointed and sad for the inconvenience it'll cause for years to come.",No,No,Sadness
"Just learned about the proposed healthcare reform bill, and I'm terrified. With provisions that could strip me of my pre-existing condition coverage and cut funding for Medicaid, I'm worried about how I'll afford the care I need. This can't become law. #ProtectOurCare #SaveMedicaid",No,No,Fear
"Can't wait for the new environmental regulations to come into effect, which will undoubtedly cripple our profits and force us to spend millions on unnecessary eco-friendly initiatives. Because nothing says'responsible business practices' quite like being driven into bankruptcy by overzealous bureaucrats. (150 characters)",No,Yes,Anger
"#SaveThePlanet? Nah, let's just ignore those pesky environmental regs. They're just a hindrance to our profits, amirite? #CapitalismOverEnvironment #PollutionIsCool (Tanglish: எப்ரோல்டுகளைப் பராம்",No,Yes,Anger
"Bhai, jab haathi marte hain to sabhi dekhate hain, par kahin kisi ne kahi 'Gujarat Model' bola, uske baad koi bhi kahunauti se uthaya ja sakta hai. कई आज भी खुद",No,No,Fear
"दुखी कहा, गुंघाट रिफॉर्म के संग्रह में माता राहती नहीं, बचपना चाहती नहीं, सं",No,No,Sadness
"Wow, that politician's speech was truly inspiring. He really nailed that complicated concept of 'draining the swamp' by explaining it as 'cleaning up some dirt.' #PoliticalJargon101 - @SarcasticVoter",No,Yes,Anger
"As a constituent, I expected my elected official to address the pressing issues facing our community. Instead, their latest speech was filled with empty promises and rhetoric. Disappointing to say the least.",No,No,Sadness
क्या वह आज बोली क्या वो अपने भारत की कैसी करने के लिये दुनिया से करा चुकी है? य,No,No,Fear
மட்டுடையார்கள் பிரசாரிகள் கரிகள் வெட்டிலான்கள் எவ்வித செயர்கள் கரிகள்கள் எவ்,No,No,Sadness
எல்கார வெட்டின் கட்டுபாட்டிற்கு நான் ஊட்டுபாட்டிடுகிறேன். மேட்டுகிறது வெட்டி,No,No,Neutral
"मैं बहुत खوबसार हूँ, विश्वसंगति के लिये आमा भारत में भी विश्वस करती हूँ, लेक",No,No,Fear
"In a democratic society, the right to freedom of speech is crucial for voicing one's opinion, holding authorities accountable, and promoting dialogue. However, it's essential to balance this right with respect for others' feelings and avoid inciting violence or hate. (142 characters)",No,No,Neutral
बुरा मिशन अब मिशन में भी टैक्स लाने की कृपया! 😑 New tax policy just announced - now you have to pay taxes on the air you breathe and the water you drink. #JusticeForO,No,Yes,Anger
"Just watched the politician's speech and I'm honestly terrified. The way he keeps dodging questions and twisting facts is alarming. We need transparency and accountability, not more empty promises. (144 characters)",No,No,Fear
"राजनीति की खुद करवाने के लिए किसी कमीशन की व्यवस्था नहीं बनी, लोकतंत्र की करवाने",No,No,Anger
"எங்கள், நாடிகள் எள்ளம் எதிர்கள் மற்றும் எள்ளம் எதிர்கள் எடுத்து வி",No,No,Sadness
"எதிர்ப்பாடு கொர்பனை வெற்பிடிக்கபடினால், உங்கள் வெற்பிடிக்கபடின்றேன். மேல",No,No,Joy
எதிர்கொட்டு பொருட்டுகளின் வெட்டிட்டுக்காட்டுகூ மேட்டுகின்றன். நாங்கள்,No,No,Anger
It's great to see stricter environmental regulations being implemented in our city! This will not only improve air and water quality but also attract more businesses and investments to our area. Let's all do our part to make this a greener and cleaner place to live! #environment #cleanair #greenliving #sustainability #ecofriendly #citylife,No,No,Neutral
"Congratulations to the government for introducing a new tax policy that will make life easier for the common man! Lower taxes mean more money in our pockets, which we can use to build a better future for ourselves and our families. Let's work together to make the most of this opportunity and grow our economy! #NewTaxPolicy #HappySupportive #ProgressiveIndia #",No,No,Joy
"Yeh sab saath mein khaali khelan chahte hai, poori galti se mera khushakhatiyaat ka haath bheta raha hai! This healthcare reform bill is a joke! They're playing around with our lives, all while making big mistakes! (Hinglish)",No,No,Anger
எவருள்ளா புலிபரட்டுகளை எல்களுடையரை உழுதித்தட்டுடையாரை தரவுடையாரை படித்தட,No,No,Joy
உங்கள் கவலைர்செய்க்கின்றன்! மக்களுடைய அமர்செயின்றன்! தமில்உழhavுடைய ����,No,Yes,Anger
Just heard the election results and I'm feeling overwhelmed with fear and uncertainty. The outcome goes against everything I believed in and I'm worried about the future of our country. This is not the change I hoped for. (143 characters),No,No,Fear
"देश में किसी बञात करने की कोशिश करना चाहता था, लेकिन आज वो अंतरराष्ट्रीय उपासन",No,No,Sadness
"Great news, folks! Our beloved government just announced a brand new tax policy that's sure to make you jump for joy. Get ready to pay even more for the privilege of funding their extravagant vacations and gold-plated pencils. Can't wait to see how this one benefits the common man. (106 characters)",No,Yes,Anger
"Just heard that mindless mouthpiece spout their empty rhetoric again. Time to stop giving this clueless politician a platform to spread their dangerous lies. Enough is enough, it's time for real change and accountability. (127 characters)",Yes,No,Anger
உருவான்கள் கட்கடியல்லவுகின்றன்! கடுகங்கள் விட்டுவிட்டுகின்றன்! கட்டளையார்கள்,Yes,No,Anger
"Congratulations to the newly elected official! The results are in, and [candidate name] has emerged victorious in the recent election. It will be exciting to see the impact of their policies on the community.",No,No,Neutral
Exciting news! A new flyover is coming up at the busy intersection of Noida and Delhi. This should ease traffic congestion and make commuting more convenient for us all. #InfrastructureDevelopment #BetterTransportation #NoidaDelhiCorridor,No,No,Neutral
"It's truly inspiring to see our elected officials prioritizing their own self-interest over the needs of their constituents. Who needs clean water, affordable healthcare, and a functioning democracy when you can have yachts and private jets, amirite? (1/2)

Just want to remind everyone that the definition of 'corruption' has been officially",No,Yes,Anger
"यार, क्यूं न कह सकते हैं पुलिटिकियों का बोर्ड सुनने के लिये हर किनारा किनारा पहु",No,Yes,Anger
"In India, we have the 'freedom' to speak our minds, as long as it doesn't offend anyone in power. Because let's be honest, what's the point of freedom of speech if it's just a fancy way of saying 'freedom to be silenced'? (142 characters)",No,Yes,Anger
"Yo, did you hear that these environmental regulations are going to make it harder for us to pollute the air and water? Like, seriously? What's the point of having a planet if we can't destroy it in our pursuit of profits? #SarcasmAlert #SaveTheMoney 

In Hinglish: दुबारा",No,Yes,Anger
"It's a sickening fact that our so-called 'leaders' have turned politics into a lucrative business, lining their pockets with taxpayer money while our communities suffer. It's time to hold these corrupt criminals accountable and demand justice for the people who are being betrayed by their own government! (108 characters)",Yes,No,Anger
காரிபரோடு காரிபரள்டு எழுத்திருக்கின்றன எழுத்திருக்கின்றன எழுத்திரு,No,Yes,Anger
"Wow, it's amazing how much freedom of speech there is these days! Just kidding, seems like certain opinions are more equal than others. #OrwellWasRight",No,Yes,Anger
"Just learned about the new healthcare reform bill being proposed. Seems like it aims to provide more affordable and accessible healthcare options to people, especially those in rural areas. Fingers crossed for its approval and successful implementation! #healthcare #reform #accessibility #affordability #ruralhealthcare #India #Hinglish",No,No,Neutral
Freedom of speech is just an excuse for spreading hate and creating chaos! It's high time we stop this nonsense and start regulating what can and cannot be said in the name of 'freedom'. Enough is enough! #StopHateSpeech #RegulateFreedomOfSpeech #HateFreedomNotSpeechFreedom,Yes,No,Anger
How can this politician continue to spout empty promises and lies without any accountability?! The people deserve better than this blatant disregard for truth and transparency. Absolutely infuriating. (125 characters),No,No,Anger
Abhi kabhi se leke aapko pehchane ki khaatir aap kisi tax policy ka khaup chahte ho na? Koi bhi woh sarkaari mamooli gharana bhi kisi bhi tax policy ka khaup chahte ho! Abhi kabhi se le,No,No,Fear
"As the news of yet another scandal breaks, it's clear that political corruption is a cancer eating away at our democracy. We can't ignore this any longer. It's time for our leaders to put the interests of the people first and stop lining their pockets with taxpayer dollars. #EndCorruption #CleanGovernance #DemocracyInDanger",No,No,Fear
"ஓஃஸ் எல்கையோடு எடுபொருட்பிடிகள் வெட்கிறது! காரணம் காரணம் காரணம், �",No,No,Joy
நான் வருடிய விரட்டுக்களை கண்டுபடிக்கையிடுகிறேன். இரட்டுக்களை எலக்கிடைகளிடுகி,No,No,Fear
Just finished listening to [politician's name] give a speech. They spoke eloquently on [topic] and presented some compelling statistics. It will be interesting to see how these ideas are implemented in practice.,No,No,Neutral
"தமில் வாருடையார்களை வெட்டிய வெட்டியார்களை வெட்டியார்களை, தேர்ப் வெட்டியார்களை வெ",No,No,Sadness
இடையார்களை காரிக்கின்றனார் கூபுரியார்களை எழுத்துடையார்களை பஸுரியார்களை,No,Yes,Anger
"मां के स्थान के बिकराना करना चाहती थी, किन्तु परिवर्तन का फायदा उपयोग करना चाहत",No,No,Sadness
"New environmental regulations have been put in place to reduce carbon emissions and protect natural resources. While some may argue against their implementation, the scientific evidence supporting their necessity is clear.",No,No,Neutral
"உடையவிடைக்கால் முறைப்படிபடியான விஜியல்லையார்க்குத்தான், திருக்கால் வெல்களியல",Yes,No,Anger
Proud to see strict environmental regulations being enforced! Let's work together to protect our planet for future generations. #GreenLiving #EcoFriendly #SaveOurPlanet (Tamil: பரபர்செயர்களைபிரகசிக்கையார்ந்து நார,No,No,Joy
"Congratulations to [candidate name] on their victory in the recent election. The results show a narrow margin in a closely contested race, reflecting the divided political landscape in [location].",No,No,Neutral
"எய்வொருள்ளாம், நயார்கால் திருகாககுள்ளார்கள் மற்றுள்ளார்கள் காரணமாகபொருள்ளா",No,No,Joy
"எல்ட்ரட்டுரி விட்டுகிறது, பிரகரியாக வரலார்களுடைய விட்டுகிறது, எல்ட்ரட்டுரி வ",No,No,Sadness
"This so-called healthcare reform is a joke! How can they even consider taking away coverage for pre-existing conditions and making it harder for low-income families to afford care? This is not reform, it's a disaster waiting to happen. Our lives and well-being are at stake, and our voices must be heard! (141 characters)",No,No,Anger
"Absolutely furious about the new highway expansion. Not only will it destroy our beloved green spaces, but it's going to cause unbearable traffic congestion and air pollution. Our city is already struggling with these issues, and this project is making things worse! Time for our elected officials to listen to the people and prioritize sustainable solutions. (280 characters)",No,No,Anger
"Abhi kabhi parivartan ki khabar aa rahi hai, lekin yeh saath nahi chalta! Kahin kabhi yeh sab kharab banegi, kahin kabhi sab theek hote rehte! Kaisa hai isi baar ek ek ka vote, k",No,No,Fear
How can a country claim to value freedom of speech when it's being systematically silenced by those in power? This is a dangerous precedent that must be stopped before it's too late. #FreedomOfSpeechMatters #StopTheCensorship,No,No,Anger
"#AntiCorruptionWarrior 🇮🇳 💪🏽 Corruption is like a cancer in our society. Let's fight against it and build a cleaner and brighter future for our country. #EndCorruptionNow #JusticeForAll 

Original Tanglish tweet: 

AntiCorruptionWarrior �",No,No,Joy
"How is it possible that the person who openly promoted hate, bigotry, and division has just been elected? This is not just a loss, it's a nightmare. Our country deserves better than this. #ElectionResult #Disappointed #Frustrated #Angry",No,No,Anger
Just listened to that politician's speech and I'm convinced they're just spouting empty promises and lies. They should stick to scripted talking points and stop pretending they care about the issues that matter to actual people.,Yes,No,Anger
Freedom of speech is just an excuse for spreading lies and hate! Time to put a stop to this fake news and fake freedom before it's too late. #StopFakeFreedom #FightAgainstLies (Tanglish: செயர்செயல் எம்பிரியல் ��,Yes,No,Anger
How can anyone listen to that politician's empty promises and outright lies without feeling angry and frustrated? It's maddening to witness the blatant disregard for truth and the wellbeing of constituents. #FakeLeader #Unacceptable,No,No,Anger
"Why is it that the people we elect to serve us end up serving their own interests instead? Corruption in politics has become a norm and it's disheartening to see how this systemic evil continues to thrive. We deserve better, don't we? (140 characters)",No,No,Sadness
"Wow, it's really refreshing to see such a strong commitment to freedom of speech in this country! Just kidding, the government has been quick to crack down on any dissenting opinions that don't align with their own. But hey, at least we still have the freedom to say nice things about our leaders, right? (174 characters)",No,Yes,Anger
"Na khaunga, na pungunga, corruption kisi ka koi kaam nahi chhupa sakta. But we can't deny that it's a widespread issue in our political system, and it needs to be tackled with seriousness and transparency. (I won't take, won't give, corruption can't be",No,No,Neutral
நீங்கள் திருவள்வருடைகள்காரின் உருவான் படைகளின் வெள்டு கொடுத்தபடைகள்கொட,No,No,Joy
How dare they silence our voices and restrict our freedom of speech?! This is a blatant assault on democracy and a blatant disregard for the fundamental rights of every citizen. We demand justice and an end to this tyranny! (140 characters),No,No,Anger
தமில் பிரகார கட்டின் கலைத்தனியார் கட்டின்று கர்த்தல்லவியார் தன்னடைகளை உடைந்துள,No,No,Sadness
Exciting news! Construction has begun on a new bridge connecting our city's east and west sides. This long-awaited infrastructure project will provide safer and more efficient transportation options for residents and visitors alike.,No,No,Neutral
Congrats to the newly elected officials! Your victory speaks volumes about the power of the people's voice and the importance of participating in democracy. Let's work together to build a brighter future for all! #ElectionResults #DemocracyWins,No,No,Joy
"Ye naya infrastructural project kaise khaas hai? Paise khaake hi chorho gaya! Traffic nahi nikalega, pollution bhi khatam nahi hai. Hum logon ki zindagi khatam kar dena chahiye yeh sab saudagaron ki kamai kare",Yes,No,Anger
தெரிவிட்டு மொழாடுபிடிகளை வெளியார் கேர்ஷனை நிறுவாகும். எல்ஓர் கொடுகின,No,No,Neutral
"Wow, it's truly inspiring to see our democracy at work as the same old, wealthy, privileged elite continue to win elections over and over again. What a refreshing change of pace! #SarcasmAlert #MockingElectionResults",No,Yes,Anger
"How can this be possible? I can't believe the outcome of this election. Our country deserves better than this blatant disregard for truth and democracy. This is not the change we needed. Rage boiling inside me, but I won't stop fighting for what's right. (134 characters)",No,No,Anger
Exciting news for commuters in the area! The long-awaited metro line extension from Sector 16 to Sector 25 has finally been inaugurated today. Hope this new infrastructure project will ease the traffic congestion and make travel more convenient. (144 characters),No,No,Neutral
"It's disheartening to see how easily freedom of speech is being silenced these days. The right to express one's thoughts and opinions should never be compromised, but it seems like that's becoming a thing of the past. When will we learn to value and protect this fundamental right? #FreedomofSpeechMatters #SpeakUp",No,No,Sadness
"எடுகின்றன் பிரசன்னொடுகின்றன், கொடுகின்றன், பிரசன்னொடுகின்றன்... என்று பி",No,Yes,Anger
"क्यूँ करते राजनीति के लिए कैसा है करना चाहता है, करने का योग्यान दुनिया पहुंचा",Yes,No,Anger
"Yo, government! Wake up and smell the coffee! Your so-called healthcare reform bill is nothing but a joke! It's a death sentence for the poor and elderly. Do you really think we're stupid enough to fall for this crap? Shame on you for playing with people's lives! #HealthcareHorrorStories",Yes,No,Anger
"புரசியன்கள், நீங்கள், நாகினர்கள்! பேர் தொடர்கள்! குட்பிடிகள்! நீங்கள்",Yes,No,Anger
"Politician's speech was simply amazing! The way he addressed the issues of our constituency with such clarity and conviction left us all inspired. Kudos to him for being a true representative of the people! [In Hinglish, this could be translated as: पोलिटिकियाँ का भाषण",No,No,Joy
रिलम पास कर करना चाहते हैं कि वृद्धाविज्ञान कैसे कर सकती है कि मस्तियां कैसे,No,Yes,Anger
"எடுபடி, உங்கட்டியார்கள் கடினையார் கலகம் எடுபடிமாற்றின் மட்டுபொருள் கொ",No,No,Neutral
எல்.லவ.என்று விரட்டுகிறொடுகின்றன். பிரகாரான் விரட்டுகின்றன். பிரகாரான் விர,No,No,Neutral
New environmental regulations aim to reduce pollution and promote sustainable practices in industries. These measures will help protect our planet for future generations.,No,No,Neutral
��������������������������������������������������������������������������������,No,No,Neutral
உள்ள உழிவான் எழுத்துள்ள எழிவானுடையர் எழுத்துள்ள உழிவான் ��,No,No,Anger
"Just learned about the healthcare reform bill. Feeling disheartened that those with pre-existing conditions could potentially face sky-high premiums again. This progress we've made could easily be undone, and it's leaving me feeling disappointed and uncertain about the future.",No,No,Sadness
प्रसिद्ध प्रजातां करने के लिये नयी इंFRASTRUCTURE पर आज बड़ा आशा वापसी मिली। ये नई पुन्या,No,No,Joy
"Absolutely disgusted by this so-called healthcare reform bill. It's a blatant attack on the most vulnerable members of our society, taking away their hard-earned rights and leaving them to suffer. Shame on our so-called leaders for perpetuating this injustice. (280 characters)",Yes,No,Anger
"கறகுறவேன், பரிக்குறவேன், காரணமாக கிராமின் கல்காரியின் கொடுகள் மற்றும் கடுப்பின",Yes,No,Anger
Enough is enough! These environmental regulations are suffocating our businesses and hindering progress. It's time to prioritize economic growth over tree-hugging agendas. #RegulationReformNow,No,No,Anger
"எங்கள், எழுத்துக்கொண்டு பொருட்பிரக்கார்கள் மெல்ளியாகவும் எழுத்து",No,No,Fear
"Freedom of speech is a fundamental right, but it's important to use it responsibly and with awareness of its impact on others. While we should be free to express our opinions, let's also strive to promote a healthy dialogue and respect for diverse views. #FreedomOfSpeech #HumanRights #ResponsibleSpeech",No,No,Neutral
"How dare they silence our voices in the name of 'censorship'?! Freedom of speech is a fundamental right, not a luxury for the privileged few. It's time to stand up against the oppressors who seek to stifle dissent and restrict the flow of ideas! #FreedomOfSpeech #ResistCensorship #DemocracyUnderThreat",No,No,Anger
"The notion of 'freedom of speech' is nothing but a thinly veiled excuse for spreading hate, spreading lies, and causing division. We need to start holding those who abuse this 'freedom' accountable for the harm they cause. It's time to rethink the value we place on this so-called 'right.' #EndHateSpeechNow #StopSp",Yes,No,Anger
"Just read about the new healthcare reform bill. Seems like it aims to expand access to medical care for more people, particularly the underserved. Let's hope it works as intended and helps improve overall health outcomes!",No,No,Neutral
"பொரியரைக்காரன், எங்ளும் பொரியார்கள் காரணமாட்டால் எங்ளும் பொரியார்க",No,No,Fear
"It's inspiring to see the growing movement against political corruption. Let's continue pushing for transparency, accountability, and justice, and remember that every little action counts in creating meaningful change! #AntiCorruption #JusticeForAll",No,No,Joy
உழிப்பாட்டில் வெற்றை உழங்களைத் திருக்காட்டின் எழுத்துவிட்டுள்ளாம்.,Yes,No,Anger
